,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-07-01,23.9,26.12,23.0,22.51,83613.58,-1.79,-7.22,24.836,27.856,32.376,61302.32,59356.02,84727.64,13.94,,,,,,,,
2015-07-02,22.96,23.5,21.29,20.78,62489.69,-1.67,-7.27,23.458,26.55,31.405,63701.39,59651.98,80617.61,10.41,,,,,,,,
2015-07-03,20.5,22.35,19.78,19.18,60546.5,-1.48,-6.96,22.34,25.369,30.534,67422.24,60535.15,77833.31,10.09,,,,,,,,
2015-07-06,21.75,21.75,20.17,18.44,72691.84,0.4,2.02,21.808,24.54,29.715,70875.06,62672.2,76265.42,12.12,,,,,,,,
2015-07-07,18.32,19.5,18.14,18.14,39457.76,-2.02,-10.02,20.476,23.384,28.872,63759.87,60745.78,73457.76,6.58,,,,,,,,
2015-07-08,16.33,16.33,16.33,16.33,5816.0,-1.81,-9.98,19.142,21.989,27.87,48200.36,54751.34,69785.6,0.97,,,,,,,,
2015-07-09,14.7,17.96,17.96,14.7,83638.9,1.63,9.98,18.476,20.967,26.863,52430.2,58065.8,67714.02,13.94,,,,,,,,
2015-07-10,19.0,19.76,19.76,18.88,47341.4,1.8,10.02,18.472,20.406,25.843,49789.18,58605.71,62914.98,7.89,,,,,,,,
2015-07-13,21.18,21.74,21.74,20.8,96581.51,1.98,10.02,18.786,20.297,25.025,54567.11,62721.09,61727.48,16.1,,,,,,,,
2015-07-14,21.88,23.81,22.87,21.5,141478.39,1.13,5.2,19.732,20.104,24.453,74971.24,69365.56,63618.02,23.58,,,,,,,,
2015-07-15,21.98,22.22,20.57,20.57,64870.4,-2.29,-10.02,20.58,19.861,23.859,86782.12,67491.24,63423.63,10.81,,,,,,,,
2015-07-16,18.55,21.53,20.19,18.54,64699.99,-0.38,-1.85,21.026,19.751,23.151,82994.34,67712.27,63682.13,10.78,,,,,,,,
2015-07-17,20.15,21.99,21.7,20.15,62418.75,1.54,7.64,21.414,19.943,22.656,86009.81,67899.49,64217.32,10.4,,,,,,,,
2015-07-20,21.7,22.49,21.7,21.12,69174.41,0.02,0.09,21.406,20.096,22.318,80528.39,67547.75,65109.97,11.53,,,,,,,,
2015-07-21,21.3,23.55,23.52,20.95,99288.72,1.82,8.39,21.536,20.634,22.009,72090.45,73530.85,67138.31,16.55,,,,,,,,
2015-07-22,23.24,23.77,23.18,22.45,85604.1,-0.31,-1.32,22.058,21.319,21.654,76237.19,81509.66,68130.5,14.27,,,,,,,,
2015-07-23,23.4,25.48,25.48,23.0,118535.26,2.32,10.02,23.116,22.071,21.519,87004.25,84999.29,71532.55,19.76,,,,,,,,
2015-07-24,26.08,27.65,24.68,24.42,150650.66,-0.8,-3.14,23.712,22.563,21.485,104650.63,95330.22,76967.97,25.11,,,,,,,,
2015-07-27,23.8,25.35,22.19,22.19,96655.49,-2.46,-9.98,23.81,22.608,21.453,110146.85,95337.62,79029.35,16.11,,,,,,,,
2015-07-28,20.49,22.69,20.9,19.97,86919.5,-1.29,-5.81,23.286,22.411,21.258,107673.0,89881.73,79623.64,14.49,,,,,,,,
2015-07-29,21.5,22.99,22.99,20.52,67965.02,2.09,10.0,23.248,22.653,21.257,104145.19,90191.19,78841.21,11.33,,,,,,,,
2015-07-30,22.7,24.98,23.14,22.48,108551.51,0.15,0.65,22.78,22.948,21.35,102148.44,94576.34,81144.31,18.09,,,,,,,,
2015-07-31,22.12,24.76,23.97,22.12,105531.0,0.87,3.77,22.638,23.175,21.559,93124.5,98887.57,83393.53,17.59,,,,,,,,
2015-08-03,23.5,26.32,26.32,23.02,157234.08,2.39,9.99,23.464,23.637,21.867,105240.22,107693.53,87620.64,26.21,,,,,,,,
2015-08-04,27.0,27.44,26.1,24.3,180567.14,-0.22,-0.84,24.504,23.895,22.265,123969.75,115821.38,94676.11,30.09,,,,,,,,
2015-08-05,25.19,28.67,27.2,25.18,171800.25,1.1,4.21,25.346,24.297,22.808,144736.8,124440.99,102975.32,28.63,,,,,,,,
2015-08-06,26.33,26.99,25.3,25.01,112612.73,-1.98,-7.26,25.778,24.279,23.175,145549.04,123848.74,104424.02,18.77,,,,,,,,
2015-08-07,25.4,26.0,25.62,25.1,77825.51,0.29,1.15,26.108,24.373,23.468,140007.94,116566.22,105948.22,12.97,,,,,,,,
2015-08-10,25.8,27.15,27.07,25.5,97079.59,1.44,5.62,26.258,24.861,23.735,127977.04,116608.63,105973.12,16.18,,,,,,,,
2015-08-11,27.0,27.77,26.78,26.55,98461.79,-0.29,-1.07,26.394,25.449,23.93,111555.97,117762.86,103822.29,16.41,,,,,,,,
2015-08-12,26.5,26.7,25.13,25.05,73084.88,-1.63,-6.09,25.98,25.663,24.158,91812.9,118274.85,104233.02,12.18,,,,,,,,
2015-08-13,25.2,25.92,25.76,24.79,47104.16,0.66,2.63,26.072,25.925,24.437,78711.19,112130.11,103353.23,7.85,,,,,,,,
2015-08-14,26.1,26.7,26.28,25.59,62905.67,0.51,1.98,26.204,26.156,24.666,75727.22,107867.58,103377.57,10.48,,,,,,,,
2015-08-17,26.0,26.16,25.55,25.1,49744.1,-0.73,-2.78,25.9,26.079,24.858,66260.12,97118.58,102406.06,8.29,,,,,,1.582267957738953,1.864119346825804,-0.28185138908685103
2015-08-18,25.8,25.94,22.99,22.99,61154.62,-2.55,-9.98,25.142,25.768,24.832,58798.69,85177.33,100499.35,10.19,,,,,,1.2689258005556923,1.7450806375717816,-0.4761548370160893
2015-08-19,21.35,23.68,23.18,20.77,58666.99,0.19,0.83,24.752,25.366,24.832,55915.11,73864.0,99152.5,9.78,,,,0.0,,1.0241258107334126,1.6008896722041077,-0.5767638614706951
2015-08-20,22.8,23.06,21.66,21.57,34471.77,-1.53,-6.6,23.932,25.002,24.641,53388.63,66049.91,94949.32,5.75,,,,0.0,,0.6994064362489105,1.4205930250130683,-0.7211865887641578
2015-08-21,21.48,21.48,19.89,19.6,37404.6,-1.78,-8.21,22.654,24.429,24.401,48288.42,62007.82,89287.02,6.23,,,,0.0,,0.29582964500038145,1.195640349010531,-0.8998107040101495
2015-08-24,19.29,19.29,17.87,17.87,24386.0,-1.99,-10.02,21.118,23.509,24.185,43216.8,54738.46,85673.55,4.06,,,,0.0,,-0.1848738768610083,0.919537503836223,-1.1044113806972313
2015-08-25,16.08,17.43,16.08,16.08,35603.42,-1.79,-10.02,19.736,22.439,23.944,38106.56,48452.62,83107.74,5.93,,,,0.0,,-0.7021786432554187,0.5951942744178946,-1.2973729176733133
2015-08-26,16.48,17.25,16.23,14.82,64346.12,0.15,0.93,18.346,21.549,23.606,39242.38,47578.75,82926.8,10.72,,,,0.0,,-1.0875065526156504,0.2586541090111856,-1.346160661626836
2015-08-27,16.2,17.4,17.38,15.77,57867.85,1.15,7.09,17.49,20.711,23.318,43921.6,48655.11,80392.61,9.64,,,,0.0,,-1.2852705094920047,-0.05013081468945252,-1.2351396948025521
2015-08-28,17.35,18.74,18.5,16.73,78202.5,1.12,6.44,17.212,19.933,23.045,52081.18,50184.8,79026.19,13.03,,,,0.0,,-1.3362220938311218,-0.30734907051778637,-1.0288730233133354
2015-08-31,17.91,18.03,16.82,16.8,43974.59,-1.67,-9.03,17.002,19.06,22.57,55998.9,49607.85,73363.21,7.33,,,,0.0,,-1.4949309180987385,-0.5448654400339767,-0.9500654780647617
2015-09-01,16.31,16.66,15.14,15.14,39559.42,-1.68,-9.99,16.814,18.275,22.022,56790.1,47448.33,66312.83,6.59,,,,0.0,,-1.7362562827745194,-0.7831436085820853,-0.9531126741924341
2015-09-02,14.12,16.08,14.44,13.9,32150.78,-0.7,-4.62,16.456,17.401,21.384,50351.03,44796.71,59330.35,5.36,,,,0.0,,-1.9613829213920155,-1.0187914711440713,-0.9425914502479442
2015-09-07,14.7,15.43,14.91,14.7,27715.72,0.48,3.33,15.962,16.726,20.864,44320.6,44121.1,55085.5,4.62,,,,0.0,,-2.077919371347125,-1.2306170511846821,-0.847302320162443
2015-09-08,14.97,16.25,16.08,14.7,35780.27,1.16,7.78,15.478,16.345,20.387,35836.16,43958.67,52983.24,5.96,,,,0.0,,-2.052209531609993,-1.3949355472697442,-0.6572739843402486
2015-09-09,16.18,17.06,17.0,16.15,53569.71,0.92,5.72,15.514,16.258,19.884,37755.18,46877.04,50807.75,8.93,,,,0.0,,-1.9352891781793602,-1.5030062734516674,-0.4322829047276928
2015-09-10,16.48,16.87,16.09,16.03,32220.04,-0.89,-5.24,15.704,16.259,19.349,36287.3,46538.7,47495.66,5.37,,,,0.0,,-1.8942229277345142,-1.5812496043082367,-0.3129733234262775
2015-09-11,16.18,16.56,16.52,16.0,26361.35,0.41,2.54,16.12,16.288,18.919,35129.42,42740.22,45159.48,4.39,,,,0.0,,-1.8061599346197852,-1.6262316703705464,-0.1799282642492388
2015-09-14,16.55,16.83,14.84,14.84,39540.13,-1.65,-10.01,16.106,16.034,18.373,37494.3,40907.45,44781.28,6.59,,,,0.0,,-1.850598786913146,-1.6711050936790663,-0.1794936932340796
2015-09-15,14.44,14.58,13.4,13.37,29506.98,-1.44,-9.7,15.57,15.524,17.729,36239.64,36037.9,43111.35,4.92,,,,0.0,,-1.9791979015371375,-1.7327236552506806,-0.24647424628645687
2015-09-16,13.64,14.72,14.72,13.62,35095.62,1.34,10.02,15.114,15.314,17.187,32544.82,35150.0,42378.92,5.85,,,,0.0,,-1.9520980864814383,-1.7765985414968322,-0.17549954498460618
2015-09-17,15.0,15.32,14.43,14.43,44848.04,-0.29,-1.97,14.782,15.243,16.759,35070.42,35678.86,41563.6,7.47,,,,0.0,,-1.9317538087428545,-1.8076295949460366,-0.12412421379681793
2015-09-18,14.56,15.18,14.89,14.41,27324.0,0.45,3.12,14.456,15.288,16.345,35262.95,35196.19,39996.45,4.55,,,,0.0,,-1.8571051146884905,-1.8175246988945273,-0.03958041579396321
2015-09-21,14.7,15.9,15.88,14.4,43630.17,0.99,6.65,14.664,15.385,16.056,36080.96,36787.63,40454.37,7.27,,,1.0,1.0,,-1.698481720603862,-1.7937161032363942,0.09523438263253214
2015-09-22,15.95,16.61,16.14,15.81,51308.68,0.27,1.7,15.212,15.391,15.868,40441.3,38340.47,41149.57,8.55,,,1.0,1.0,,-1.5341074748611607,-1.7417943775613476,0.20768690270018686
2015-09-23,15.79,15.98,15.64,15.5,36146.86,-0.5,-3.1,15.396,15.255,15.757,40651.55,36598.19,41737.61,6.02,,,1.0,1.0,,-1.4277275675144718,-1.6789810155519724,0.2512534480375006
2015-09-24,15.62,16.29,16.06,15.62,34653.98,0.42,2.69,15.722,15.252,15.756,38612.74,36841.58,41690.14,5.78,,,1.0,1.0,,-1.2946068131258777,-1.6021061750667536,0.3074993619408759
2015-09-25,15.82,16.1,15.19,15.0,34801.54,-0.85,-5.3,15.782,15.119,15.704,40108.25,37685.6,40212.91,5.8,,,1.0,1.0,,-1.2449582811903603,-1.530676596291475,0.2857183151011147
2015-09-28,15.21,15.78,15.75,14.92,20497.96,0.58,3.82,15.756,15.21,15.622,35481.8,35781.38,38344.42,3.42,,,1.0,1.0,,-1.147199935301387,-1.4539812640934575,0.30678132879207043
2015-09-29,15.35,15.5,15.44,15.17,19918.18,-0.29,-1.84,15.616,15.414,15.469,29203.7,34822.5,35430.2,3.32,,,1.0,1.0,,-1.0822644798578747,-1.379637907246341,0.2973734273884663
2015-09-30,15.5,16.29,15.94,15.49,41180.47,0.47,3.04,15.676,15.536,15.425,30210.43,35430.99,35290.49,6.86,,,1.0,1.0,,-0.979169584796912,-1.2995442427564552,0.32037465795954323
2015-10-08,16.74,16.74,16.54,16.23,43150.07,0.62,3.89,15.772,15.747,15.495,31909.64,35261.19,35470.03,7.19,,,1.0,1.0,,-0.8393753555064514,-1.2075104653064543,0.36813510980000297
