,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688388,嘉元科技,7.409,69.3,64.82,69.3,64.82,64.52,8915185.0,16.8724,595538459.0,67.941,13.86,1599970.68,366173.25129
1,688333,铂力特,-1.812,93.75,94.88,96.98,90.88,95.48,3591243.0,19.99641,335655870.0,98.684,14.291,750000.0,168369.73125
2,688321,微芯生物,-2.167,99.79,101.08,106.35,96.51,102.0,10794216.0,26.60094,1097667001.0,1148.331,71.791,4091390.0,404931.105175
3,688188,柏楚电子,0.881,203.78,202.0,208.49,200.39,202.0,1757449.0,7.67131,360114486.0,109.559,37.391,2037800.0,466847.121482
4,688122,西部超导,-2.022,56.68,57.95,57.95,55.53,57.85,6366094.0,16.03458,361531663.0,166.755,11.883,2501129.696,225032.585388
5,688099,晶晨股份,-0.775,121.6,122.6,124.65,120.0,122.55,3469315.0,9.29477,423931907.0,160.0,36.627,4999219.2,453877.7152
6,688088,虹软科技,-1.36,74.0,74.89,76.63,72.74,75.02,5919560.0,15.57525,440077726.0,151.02,25.26,3004400.0,281245.917
7,688066,航天宏图,-1.405,65.96,66.95,67.44,64.61,66.9,6349908.0,16.86689,419349990.0,131.92,18.271,1094826.064468,248320.726724
8,688033,天宜上佳,-0.577,51.71,53.57,53.9,50.55,52.01,6175203.0,14.21679,321696072.0,78.348,15.254,2320419.999148,224607.478435
9,688029,南微医学,0.964,121.51,120.6,122.01,119.6,120.35,1596501.0,5.21867,192994064.0,63.057,16.622,1620214.34,371724.497741
10,688028,沃尔德,0.347,153.13,154.01,154.99,146.1,152.6,4195396.0,23.11197,630431111.0,139.209,25.021,1225040.0,277968.910927
11,688022,瀚川智能,5.46,84.8,83.0,86.69,82.3,80.41,7645715.0,31.30315,647160995.0,97.471,35.932,915840.0,207121.82912
12,688020,方邦股份,1.553,119.63,118.5,120.95,117.02,117.8,2044014.0,11.19814,243914787.0,61.349,14.991,957040.0,218362.469339
13,688019,安集科技,0.258,171.29,170.98,172.5,168.25,170.85,835458.0,7.21781,142571931.0,151.584,18.145,909693.44102,198267.421324
14,688018,乐鑫科技,0.474,146.32,146.5,147.29,144.2,145.63,1246136.0,7.14646,181955423.0,93.513,23.374,1170560.0,255139.852048
