,date,open,close,high,low
0,2016-09-09,25.543,30.656,30.656,25.543
1,2016-09-12,33.723,33.723,33.723,33.723
2,2016-09-13,37.099,37.099,37.099,37.099
3,2016-09-14,40.813,40.813,40.813,40.813
4,2016-09-19,44.893,44.893,44.893,44.893
5,2016-09-20,45.337,46.977,49.186,41.343
6,2016-09-21,44.855,43.765,46.012,43.456
7,2016-09-22,44.083,42.868,44.71,42.636
8,2016-09-23,42.896,42.376,43.495,42.163
9,2016-09-26,41.961,38.999,42.376,38.585
10,2016-09-27,38.681,38.507,38.913,37.572
11,2016-09-28,38.527,37.871,38.527,37.63
12,2016-09-29,37.832,37.842,38.556,37.823
13,2016-09-30,37.736,36.974,38.035,36.877
14,2016-10-10,37.331,37.987,38.16,36.945
15,2016-10-11,38.016,38.257,38.315,37.253
16,2016-10-12,37.813,38.286,38.855,37.688
17,2016-10-13,38.112,37.446,38.228,37.331
18,2016-10-14,37.302,37.466,37.813,37.282
19,2016-10-17,37.62,36.385,37.697,36.318
20,2016-10-18,36.356,36.559,36.626,35.884
21,2016-10-19,36.463,37.437,37.996,36.376
22,2016-10-20,37.282,36.964,37.417,36.868
23,2016-10-21,37.003,36.598,37.389,36.27
24,2016-10-24,36.395,37.562,37.794,36.289
25,2016-10-25,37.495,37.61,38.151,37.253
26,2016-10-26,37.456,36.887,37.543,36.771
27,2016-10-27,36.771,37.659,38.093,36.665
28,2016-10-28,37.717,39.077,39.549,37.62
29,2016-10-31,38.922,38.266,38.922,37.919
30,2016-11-01,38.208,39.077,40.022,38.083
31,2016-11-02,38.681,39.771,40.176,38.401
32,2016-11-03,39.549,39.424,40.495,39.163
33,2016-11-04,39.163,39.79,40.311,39.067
34,2016-11-07,39.79,38.893,40.003,38.633
35,2016-11-08,39.028,39.462,39.781,38.797
36,2016-11-09,39.27,38.382,39.472,37.659
37,2016-11-10,38.797,41.546,42.221,38.459
38,2016-11-11,41.479,42.086,44.16,40.967
39,2016-11-14,42.067,41.623,42.086,40.716
40,2016-11-15,41.604,42.501,43.388,41.141
41,2016-11-16,42.347,41.305,42.347,41.208
42,2016-11-17,41.044,41.015,41.729,40.755
43,2016-11-18,41.17,40.948,41.961,40.89
44,2016-11-21,40.659,41.044,41.372,40.041
45,2016-11-22,40.89,40.929,41.652,40.62
46,2016-11-23,40.996,40.244,41.372,40.138
47,2016-11-24,40.215,39.298,40.398,39.163
48,2016-11-25,39.298,39.067,39.704,38.122
49,2016-11-28,39.028,38.575,39.308,38.488
50,2016-11-29,38.575,37.909,38.951,37.832
